"","names","transcript_id","cell_components_terms","mol_functions_terms","bio_process_terms","length"
"11214","Sc_g10732: F-box/kelch-repeat protein At5g15710-like","Sc_g10732","","protein binding","",1152
"11215","Sc_g10733: uncharacterized protein LOC112295048","Sc_g10733","","","",762
"11216","Sc_g10734: endo-1,4-beta-xylanase A-like isoform X1","Sc_g10734","","hydrolase activity, hydrolyzing O-glycosyl compounds"," carbohydrate metabolic process",669
"11217","Sc_g10735: glycosyl hydrolase family 10 protein / carbohydrate-binding domain-containing protein","Sc_g10735","","hydrolase activity, hydrolyzing O-glycosyl compounds"," carbohydrate metabolic process",420
"11218","Sc_g10736: endo-1,4-beta-xylanase A","Sc_g10736","","hydrolase activity, hydrolyzing O-glycosyl compounds"," carbohydrate metabolic process",303
"11219","Sc_g10737: endo-1,4-beta-xylanase A-like","Sc_g10737","","hydrolase activity, acting on glycosyl bonds","",1305
"11220","Sc_g10738: thylakoid lumenal protein TL20.3, chloroplastic","Sc_g10738","chloroplast thylakoid membrane","","",636
"11221","Sc_g10739: autophagy-related protein 9-like","Sc_g10739","membrane, cytoplasmic vesicle","","",2283
"11222","Sc_g10740: phenylalanine--tRNA ligase, chloroplastic/mitochondrial","Sc_g10740"," mitochondrion","tRNA binding, phenylalanine-tRNA ligase activity, ATP binding"," phenylalanyl-tRNA aminoacylation",1299
"11223","Sc_g10741: protein draper-like","Sc_g10741","membrane, integral component of membrane","","",528
"11224","Sc_g10742: lipase 1-like isoform X2","Sc_g10742","integral component of membrane"," lipase activity"," cellular lipid metabolic process",2600
"11225","Sc_g10743: uncharacterized protein LOC112281353","Sc_g10743",""," hydrolase activity","lipid metabolic process",1365
"11226","Sc_g10744: protein draper-like","Sc_g10744","membrane, integral component of membrane","","",2328
"11227","Sc_g10745: protein draper-like","Sc_g10745","membrane, integral component of membrane","","",381
"11228","Sc_g10746: ethylene-responsive transcription factor ERF039-like","Sc_g10746"," nucleus","DNA binding, DNA-binding transcription factor activity"," regulation of transcription, DNA-templated",588
"11229","Sc_g10747: protein VTE6, chloroplastic isoform X2","Sc_g10747","chloroplast, integral component of membrane","","",1212
"11230","Sc_g10748: glutathione S-transferase kappa 1-like isoform X1","Sc_g10748"," mitochondrion, peroxisome","glutathione transferase activity, glutathione peroxidase activity, protein disulfide oxidoreductase activity"," glutathione metabolic process",1128
"11231","Sc_g10749: beta-amyrin 28-monooxygenase-like","Sc_g10749"," integral component of membrane","monooxygenase activity, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, heme binding"," oxidation-reduction process",1986
"11232","Sc_g10750: serine/threonine-protein kinase STY46-like","Sc_g10750","","protein kinase activity, ATP binding"," protein phosphorylation",2313
"11233","Sc_g10751: uncharacterized protein LOC112273831","Sc_g10751","","","",624
"11234","Sc_g10752: CPLD51 required for cyt b6 assembly","Sc_g10752","membrane, integral component of membrane","","",2284
"11235","Sc_g10753: 4-coumarate:CoA ligase","Sc_g10753","","ATP binding, 4-coumarate-CoA ligase activity"," phenylpropanoid metabolic process",1839
"11236","Sc_g10754: cytokinin hydroxylase","Sc_g10754"," integral component of membrane","monooxygenase activity, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, heme binding"," oxidation-reduction process",1593
"11237","Sc_g10755: 43kDa postsynaptic protein","Sc_g10755","","","",2030
"11238","Sc_g10756: sufE-like protein 1, chloroplastic/mitochondrial","Sc_g10756","","","",628
"11239","Sc_g10757: probable aldo-keto reductase 2","Sc_g10757","","oxidoreductase activity"," oxidation-reduction process",1749
"11240","Sc_g10758: uncharacterized protein LOC112295260 isoform X1","Sc_g10758","integral component of membrane","","",387
"11241","Sc_g10759: NPC intracellular cholesterol transporter 1-like","Sc_g10759"," integral component of membrane","lipid transporter activity","",4464
"11242","Sc_g10760: uncharacterized protein LOC112295125","Sc_g10760","","","",918
"11243","Sc_g10761: late embryogenesis abundant protein At1g64065","Sc_g10761","integral component of membrane","","",684
"11244","Sc_g10762: glutaredoxin-C4","Sc_g10762"," vacuole, endoplasmic reticulum, Golgi apparatus, integral component of membrane","thioredoxin-disulfide reductase activity, electron transfer activity, protein disulfide oxidoreductase activity"," electron transport chain, cell redox homeostasis, cellular oxidant detoxification",879
"11245","Sc_g10763: geranylgeranyl diphosphate reductase, chloroplastic-like","Sc_g10763"," chloroplast thylakoid membrane, chloroplast envelope"," oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor, geranylgeranyl reductase activity, FAD binding","tRNA processing, photosynthesis, chlorophyll biosynthetic process, oxidation-reduction process",1392
"11246","Sc_g10764: probable LIM domain-containing serine/threonine-protein kinase DDB_G0286997","Sc_g10764","","protein kinase activity, ATP binding"," protein phosphorylation",1392
"11247","Sc_g10765: T-complex protein 1 subunit eta-like","Sc_g10765"," cytoplasm, chaperonin-containing T-complex","nucleotide binding, ATP binding, unfolded protein binding"," protein folding",273
"11248","Sc_g10766: T-complex protein 1 subunit eta","Sc_g10766","","ATP binding, unfolded protein binding"," protein folding",759
"11249","Sc_g10767: ---NA---","Sc_g10767","","","",207
"11250","Sc_g10768: NADH dehydrogenase subunit 5 (mitochondrion)","Sc_g10768","mitochondrion, integral component of membrane","","",270
"11251","Sc_g10769: NADH dehydrogenase subunit 5 (mitochondrion)","Sc_g10769","mitochondrion, mitochondrial inner membrane, membrane, integral component of membrane, respirasome"," NADH dehydrogenase (ubiquinone) activity, oxidoreductase activity"," ATP synthesis coupled electron transport, oxidation-reduction process",96
"11252","Sc_g10770: NADH dehydrogenase subunit 2 (mitochondrion)","Sc_g10770","mitochondrion, membrane, integral component of membrane"," NADH dehydrogenase (ubiquinone) activity"," ATP synthesis coupled electron transport, oxidation-reduction process",105
"11253","Sc_g10771: phagocyte signaling-impaired protein isoform X1","Sc_g10771"," cytosol, plasmodesma","protein binding","",2826
"11254","Sc_g10772: 60S ribosomal export protein NMD3","Sc_g10772"," nucleus, cytosol"," ribosomal large subunit binding","ribosomal large subunit export from nucleus, endoplasmic reticulum organization, plant-type secondary cell wall biogenesis",2138
"11255","Sc_g10773: coiled-coil domain-containing protein 130-like","Sc_g10773","","","",951
"11256","Sc_g10774: dynein heavy chain 7, axonemal","Sc_g10774"," dynein complex","microtubule motor activity, ion binding"," microtubule-based movement",669
"11257","Sc_g10775: dynein heavy chain 7, axonemal","Sc_g10775"," dynein complex"," ATP binding, ATP-dependent microtubule motor activity, minus-end-directed, dynein light chain binding, dynein intermediate chain binding, dynein light intermediate chain binding","cilium movement",2457
"11258","Sc_g10776: dynein heavy chain 7, axonemal","Sc_g10776"," dynein complex","microtubule motor activity, ATP binding"," microtubule-based movement",1074
"11259","Sc_g10777: dynein heavy chain 7, axonemal","Sc_g10777"," dynein complex","microtubule motor activity, ATP binding, ATPase activity"," microtubule-based movement",270
"11260","Sc_g10778: dynein heavy chain 7, axonemal","Sc_g10778"," membrane, dynein complex","microtubule motor activity, ATP binding, ATPase activity"," microtubule-based movement",1497
"11261","Sc_g10779: dynein heavy chain 7, axonemal","Sc_g10779"," dynein complex","microtubule motor activity, ATP binding, ATPase activity"," microtubule-based movement",2592
"11262","Sc_g10780: dynein heavy chain 6","Sc_g10780"," axonemal dynein complex"," microtubule motor activity, ATP binding, ATPase activity, dynein light chain binding","cilium movement",1680
"11263","Sc_g10781: flagellar inner arm heavy dynein chain","Sc_g10781"," dynein complex","microtubule motor activity, ion binding"," microtubule-based movement",2406
"11264","Sc_g10782: acylphosphatase-like isoform X2","Sc_g10782","","acylphosphatase activity","",273
"11265","Sc_g10783: tRNase Z TRZ1","Sc_g10783","nucleus, cytoplasm"," 3'-tRNA processing endoribonuclease activity, metal ion binding"," tRNA 3'-trailer cleavage, endonucleolytic",885
"11266","Sc_g10784: trichohyalin-like","Sc_g10784","","","",1185
"11267","Sc_g10785: actin-related protein 2/3 complex subunit 1A-like isoform X1","Sc_g10785","cytoplasm, Arp2/3 protein complex"," actin filament binding"," Arp2/3 complex-mediated actin nucleation",1368
"11268","Sc_g10786: acid phosphatase/Vanadium-dependent haloperoxidase","Sc_g10786","","peroxidase activity"," cellular oxidant detoxification",1242
"11269","Sc_g10787: acid phosphatase/Vanadium-dependent haloperoxidase","Sc_g10787","","peroxidase activity"," cellular oxidant detoxification",1023
"11270","Sc_g10788: myosin-1","Sc_g10788"," myosin complex","motor activity, ATP binding, actin filament binding","",4559
"11271","Sc_g10789: protein PIN-LIKES 2","Sc_g10789","integral component of membrane",""," transmembrane transport, biological regulation",1727
"11272","Sc_g10790: hypothetical protein PHYPA_030026","Sc_g10790","","","",510
"11273","Sc_g10791: polygalacturonase At1g48100","Sc_g10791"," extracellular region","polygalacturonase activity"," carbohydrate metabolic process, cell wall organization",1455
"11274","Sc_g10792: probable protein phosphatase 2C 59","Sc_g10792","","protein serine/threonine phosphatase activity, metal ion binding"," protein dephosphorylation",1558
"11275","Sc_g10793: methionine aminopeptidase 2B-like","Sc_g10793","cytoplasm"," metal ion binding, metalloaminopeptidase activity"," proteolysis, protein initiator methionine removal",1736
"11276","Sc_g10794: protease 2","Sc_g10794","","serine-type endopeptidase activity, serine-type exopeptidase activity"," proteolysis",2607
"11277","Sc_g10795: E2F transcription factor-like E2FE isoform X2","Sc_g10795"," transcription factor complex","DNA-binding transcription factor activity"," regulation of transcription, DNA-templated",1962
"11278","Sc_g10796: enhancer of mRNA-decapping protein 4-like isoform X1","Sc_g10796","","protein binding","",5327
"11279","Sc_g10797: plasma membrane ATPase 4-like","Sc_g10797"," plasma membrane, integral component of membrane","ATP binding, proton-exporting ATPase activity, phosphorylative mechanism, metal ion binding"," regulation of intracellular pH, proton export across plasma membrane",2622
"11280","Sc_g10798: elongation factor Tu, chloroplastic","Sc_g10798"," nucleolus, mitochondrion, cytosol, nucleoid, chloroplast thylakoid membrane, chloroplast stroma, chloroplast envelope, apoplast","translation elongation factor activity, GTPase activity, protein binding, GTP binding"," mitochondrial translational elongation",1814
"11281","Sc_g10799: ecotropic viral integration site 5 ortholog","Sc_g10799","","","",2808
"11282","Sc_g10800: Amine oxidase","Sc_g10800","","oxidoreductase activity"," oxidation-reduction process",1701
"11283","Sc_g10801: THO complex subunit 4A-like","Sc_g10801","","nucleic acid binding","",513
"11284","Sc_g10802: growth hormone-regulated TBC protein 1-like","Sc_g10802"," intracellular","GTPase activator activity, Rab GTPase binding"," intracellular protein transport, activation of GTPase activity",1730
"11285","Sc_g10802: growth hormone-regulated TBC protein 1-like","Sc_g10802"," intracellular","GTPase activator activity, Rab GTPase binding"," intracellular protein transport, activation of GTPase activity",1742
"11286","Sc_g10803: growth hormone-regulated TBC protein 1-like","Sc_g10803"," intracellular","GTPase activator activity, Rab GTPase binding"," intracellular protein transport, activation of GTPase activity",1176
"11287","Sc_g10804: GPI-anchored protein LLG1-like","Sc_g10804","","","",291
"11288","Sc_g10805: arogenate dehydrogenase 2, chloroplastic-like","Sc_g10805"," chloroplast, plastid stroma","nucleotide binding, prephenate dehydrogenase (NADP+) activity, ribokinase activity, prephenate dehydrogenase (NAD+) activity, ion binding"," D-ribose metabolic process, tyrosine biosynthetic process, carbohydrate phosphorylation, oxidation-reduction process",1791
"11289","Sc_g10806: aminopeptidase M1 isoform X1","Sc_g10806",""," metallopeptidase activity, zinc ion binding","proteolysis",2535
"11290","Sc_g10807: solute carrier family 35 member F1-like isoform X1","Sc_g10807","integral component of membrane"," transmembrane transporter activity"," transmembrane transport",1014
"11291","Sc_g10808: LRR receptor-like serine/threonine-protein kinase FEI 2","Sc_g10808"," integral component of membrane","protein kinase activity, protein binding, ATP binding"," protein phosphorylation",2685
"11292","Sc_g10809: E2F transcription factor-like E2FE isoform X1","Sc_g10809"," transcription factor complex","DNA-binding transcription factor activity"," regulation of transcription, DNA-templated",2031
"11293","Sc_g10810: putative component of high affinity nitrate transporter","Sc_g10810"," membrane","","response to nitrate, nitrate transport",1012
"11294","Sc_g10811: putative component of high affinity nitrate transporter","Sc_g10811","plasma membrane"," nitrate transmembrane transporter activity"," response to nitrate, nitrate transport",627
"11295","Sc_g10812: high-affinity nitrate transporter 2.1-like","Sc_g10812","plasma membrane, plant-type vacuole membrane, integral component of membrane"," nitrate transmembrane transporter activity, nitrite transmembrane transporter activity"," nitrate transport, nitrite transport, transmembrane transport, cellular response to nitrate",2196
"11296","Sc_g10813: formamidopyrimidine-dna glycosylase","Sc_g10813","","damaged DNA binding, DNA-(apurinic or apyrimidinic site) endonuclease activity, zinc ion binding, hydrolase activity, acting on ester bonds, hydrolase activity, hydrolyzing N-glycosyl compounds"," nucleotide-excision repair",1650
"11297","Sc_g10814: pseudouridine-metabolizing bifunctional protein C1861.05","Sc_g10814","peroxisome, plasma membrane"," hydrolase activity, acting on glycosyl bonds","",1167
"11298","Sc_g10815: Ferritin/ribonucleotide reductase-like protein","Sc_g10815","","","",1294
"11299","Sc_g10816: probable splicing factor 3A subunit 1","Sc_g10816"," U2 snRNP, U2-type prespliceosome, catalytic step 2 spliceosome","RNA binding, protein binding"," RNA processing",2696
"11300","Sc_g10817: cysteine proteinase RD21A-like","Sc_g10817"," extracellular space, lysosome","cysteine-type endopeptidase activity"," proteolysis involved in cellular protein catabolic process",1976
"11301","Sc_g10818: pentatricopeptide repeat-containing protein At5g02830, chloroplastic","Sc_g10818","","protein binding","",2927
"11302","Sc_g10819: ammonium transporter 1 member 1-like","Sc_g10819","integral component of plasma membrane"," ammonium transmembrane transporter activity"," ammonium transmembrane transport",1113
"11303","Sc_g10820: ammonium transporter 1 member 2","Sc_g10820","integral component of plasma membrane"," ammonium transmembrane transporter activity"," response to nematode, methylammonium transport, ammonium transmembrane transport",2035
"11304","Sc_g10821: ammonium transporter 1 member 2-like","Sc_g10821","integral component of plasma membrane"," ammonium transmembrane transporter activity"," ammonium transmembrane transport",1032
"11305","Sc_g10822: probable disease resistance protein RPP1","Sc_g10822","","protein binding, ADP binding"," signal transduction",2685
"11306","Sc_g10823: LRR receptor-like serine/threonine-protein kinase GSO1 isoform X1","Sc_g10823","","protein binding, ADP binding"," signal transduction",3717
"11307","Sc_g10824: two pore calcium channel protein 1-like isoform X1","Sc_g10824"," integral component of membrane","voltage-gated calcium channel activity"," calcium ion transmembrane transport",2145
"11308","Sc_g10825: protein draper-like","Sc_g10825","membrane, integral component of membrane","","",1515
"11309","Sc_g10826: phospholipase A1-Igamma2, chloroplastic-like","Sc_g10826","","phospholipase activity"," lipid metabolic process",2109
"11310","Sc_g10827: copper chaperone for superoxide dismutase, chloroplastic/cytosolic","Sc_g10827"," extracellular space, plastid","superoxide dismutase activity, zinc ion binding, superoxide dismutase copper chaperone activity"," removal of superoxide radicals, metal ion transport",1253
"11311","Sc_g10828: subtilisin-like protease SBT1.5","Sc_g10828","","serine-type endopeptidase activity"," proteolysis",2894
"11312","Sc_g10829: probable 3-deoxy-D-manno-octulosonic acid transferase, mitochondrial isoform X2","Sc_g10829","","transferase activity","",1341
"11313","Sc_g10830: dual specificity protein phosphatase 12-like isoform X1","Sc_g10830","","protein tyrosine phosphatase activity, protein tyrosine/serine/threonine phosphatase activity"," peptidyl-tyrosine dephosphorylation",915
"11314","Sc_g10831: cyclin-dependent kinase C-2-like","Sc_g10831","cyclin-dependent protein kinase holoenzyme complex, nuclear chromatin"," cyclin-dependent protein serine/threonine kinase activity, ATP binding, RNA polymerase II CTD heptapeptide repeat kinase activity"," positive regulation of transcription elongation from RNA polymerase II promoter, regulation of cell cycle, phosphorylation of RNA polymerase II C-terminal domain",1695
"11315","Sc_g10832: cytochrome b-c1 complex subunit 6","Sc_g10832","mitochondrial respiratory chain complex III, integral component of membrane"," ubiquinol-cytochrome-c reductase activity"," mitochondrial electron transport, ubiquinol to cytochrome c, aerobic respiration",249
"11316","Sc_g10833: B3 domain-containing protein At3g19184-like","Sc_g10833","","DNA binding","",906
"11317","Sc_g10834: probable aminotransferase TAT2","Sc_g10834",""," transaminase activity, pyridoxal phosphate binding","cellular amino acid metabolic process, biosynthetic process",1422
"11318","Sc_g10835: TMV resistance protein N","Sc_g10835","","protein binding, ADP binding"," signal transduction",1476
"11319","Sc_g10836: predicted protein","Sc_g10836"," integral component of membrane","GTPase activity, GTP binding","",3319
"11320","Sc_g10837: soluble inorganic pyrophosphatase-like","Sc_g10837"," cytoplasm","magnesium ion binding, inorganic diphosphatase activity"," phosphate-containing compound metabolic process",672
"11321","Sc_g10838: LRR receptor-like serine/threonine-protein kinase GSO1 isoform X1","Sc_g10838","","protein kinase activity, ATP binding"," protein phosphorylation",1479
"11322","Sc_g10839: ycf20-like protein","Sc_g10839","chloroplast, integral component of membrane",""," nonphotochemical quenching",252
"11323","Sc_g10840: 26S proteasome non-ATPase regulatory subunit 2 homolog A","Sc_g10840"," nucleus, proteasome regulatory particle, base subcomplex, proteasome storage granule","endopeptidase activity, enzyme regulator activity"," regulation of protein catabolic process, proteasome-mediated ubiquitin-dependent protein catabolic process, regulation of catalytic activity",2738
"11324","Sc_g10841: 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase-like isoform X1","Sc_g10841","","6-phosphofructo-2-kinase activity, ATP binding, starch binding"," fructose metabolic process, fructose 2,6-bisphosphate metabolic process, phosphorylation",2747
"11325","Sc_g10842: nudix hydrolase 16, mitochondrial-like","Sc_g10842","nucleus, cytoplasm"," hydrolase activity","",495
"11326","Sc_g10843: zinc-finger homeodomain protein 2","Sc_g10843","","DNA binding","",474
"11327","Sc_g10844: SNF1-related protein kinase catalytic subunit alpha KIN10-like","Sc_g10844","","protein serine/threonine kinase activity, ATP binding"," protein phosphorylation, negative regulation of apoptotic process",1485
"11328","Sc_g10845: beta-amylase 2, chloroplastic","Sc_g10845"," chloroplast"," beta-amylase activity, amylopectin maltohydrolase activity","polysaccharide catabolic process",2051
"11329","Sc_g10846: GTP-binding protein OBGC, chloroplastic","Sc_g10846"," chloroplast stroma, chloroplast inner membrane","magnesium ion binding, GTPase activity, GTP binding"," rRNA processing, response to light stimulus, chloroplast organization, thylakoid membrane organization",2412
"11330","Sc_g10847: disease resistance protein TAO1-like","Sc_g10847","","ADP binding","",2430
"11331","Sc_g10848: peptide chain release factor 3","Sc_g10848"," cytosol, membrane","GTPase activity, GTP binding, translation release factor activity, codon nonspecific"," translational termination",1986
"11332","Sc_g10849: protein SRC2-like","Sc_g10849","membrane, integral component of membrane","","",1493
"11333","Sc_g10850: probable LRR receptor-like serine/threonine-protein kinase At4g36180","Sc_g10850","","protein binding","",1008
"11334","Sc_g10851: probable methyltransferase PMT18","Sc_g10851","endosome, vacuolar membrane, trans-Golgi network, integral component of membrane"," S-adenosylmethionine-dependent methyltransferase activity"," methylation, cell wall pectin metabolic process",2565
"11335","Sc_g10851: probable methyltransferase PMT18","Sc_g10851","endosome, vacuolar membrane, trans-Golgi network, integral component of membrane"," S-adenosylmethionine-dependent methyltransferase activity"," methylation, cell wall pectin metabolic process",2444
"11336","Sc_g10851: probable methyltransferase PMT18","Sc_g10851","endosome, vacuolar membrane, trans-Golgi network, integral component of membrane"," S-adenosylmethionine-dependent methyltransferase activity"," methylation, cell wall pectin metabolic process",2420
"11337","Sc_g10851: probable methyltransferase PMT18","Sc_g10851","endosome, vacuolar membrane, trans-Golgi network, integral component of membrane"," S-adenosylmethionine-dependent methyltransferase activity"," methylation, cell wall pectin metabolic process",2385
"11338","Sc_g10852: uncharacterized protein LOC112273328","Sc_g10852",""," zinc ion binding, sequence-specific DNA binding, metal ion binding","regulation of transcription, DNA-templated",567
"11339","Sc_g10853: ubiquitin carboxyl-terminal hydrolase 27","Sc_g10853",""," thiol-dependent ubiquitinyl hydrolase activity","protein deubiquitination",2013
"11340","Sc_g10854: Retrovirus-related Pol polyprotein from transposon TNT 1-94","Sc_g10854","retrotransposon nucleocapsid"," nucleic acid binding, zinc ion binding"," DNA integration",378
"11341","Sc_g10855: RING-box protein 1a","Sc_g10855"," Cul2-RING ubiquitin ligase complex, Cul3-RING ubiquitin ligase complex, Cul7-RING ubiquitin ligase complex, nuclear SCF ubiquitin ligase complex, Cul4-RING E3 ubiquitin ligase complex","zinc ion binding, NEDD8 transferase activity, ubiquitin protein ligase activity, cullin family protein binding"," protein ubiquitination, SCF-dependent proteasomal ubiquitin-dependent protein catabolic process, protein neddylation",801
"11342","Sc_g10856: lysine--tRNA ligase, chloroplastic/mitochondrial","Sc_g10856"," mitochondrion, chloroplast","nucleic acid binding, lysine-tRNA ligase activity, ATP binding"," lysyl-tRNA aminoacylation, plant ovule development",1944
"11343","Sc_g10857: transcription termination factor MTERF2, chloroplastic","Sc_g10857","","double-stranded DNA binding"," regulation of transcription, DNA-templated",1999
"11344","Sc_g10858: cytochrome c oxidase assembly factor 6","Sc_g10858","mitochondrion","","",384
"11345","Sc_g10859: ribosomal RNA large subunit methyltransferase I","Sc_g10859"," plasma membrane","RNA binding, methyltransferase activity"," methylation",1443
"11346","Sc_g10860: phospholipase D delta-like","Sc_g10860"," membrane","phospholipase D activity, calcium ion binding"," phosphatidylcholine metabolic process",3157
"11347","Sc_g10861: hepatocyte growth factor-regulated tyrosine kinase substrate","Sc_g10861","","metal ion binding","",948
"11348","Sc_g10862: photosynthetic NDH subunit of subcomplex B 5, chloroplastic","Sc_g10862"," chloroplast thylakoid membrane, integral component of membrane","","response to oxidative stress",761
"11349","Sc_g10863: T-complex protein 1 subunit delta","Sc_g10863"," chaperonin-containing T-complex","ATP binding, unfolded protein binding"," protein folding",1973
"11350","Sc_g10864: diacylglyceryl-N,N,N-trimethylhomoserine synthesis protein","Sc_g10864",""," methyltransferase activity","amino-acid betaine biosynthetic process, methylation",2046
"11351","Sc_g10865: proteasome-associated ATPase-like isoform X4","Sc_g10865","","ATP binding","",1080
"11352","Sc_g10866: proteasome-associated ATPase-like isoform X4","Sc_g10866","","nucleotide binding","",303
"11353","Sc_g10867: uncharacterized protein LOC112295351 isoform X1","Sc_g10867","","ATP binding","",747
"11354","Sc_g10868: acetolactate synthase small subunit 2, chloroplastic","Sc_g10868"," peroxisome, chloroplast","acetolactate synthase activity, protein self-association"," valine biosynthetic process, regulation of catalytic activity",1203
"11355","Sc_g10869: uncharacterized protein LOC112295356 isoform X1","Sc_g10869","membrane, integral component of membrane","","",1814
"11356","Sc_g10870: beta-hexosaminidase 2","Sc_g10870"," membrane","beta-N-acetylhexosaminidase activity"," carbohydrate metabolic process",2405
"11357","Sc_g10871: penicillin-binding protein","Sc_g10871","","catalytic activity"," metabolic process",1446
"11358","Sc_g10872: heavy metal-associated isoprenylated plant protein 28-like","Sc_g10872",""," metal ion binding","metal ion transport",1296
"11359","Sc_g10873: HVA22-like protein e","Sc_g10873"," membrane, integral component of membrane"," oxidoreductase activity","response to abscisic acid, oxidation-reduction process",531
"11360","Sc_g10874: GEM-like protein 5","Sc_g10874","","","",1119
"11361","Sc_g10875: phosphopantetheine adenylyltransferase","Sc_g10875"," cytosol","dephospho-CoA kinase activity, pantetheine-phosphate adenylyltransferase activity"," lipid metabolic process, response to salt stress, phosphorylation, lipid storage, regulation of coenzyme A biosynthetic process",1391
"11362","Sc_g10876: B3 DNA binding domain","Sc_g10876","","DNA binding","",1851
"11363","Sc_g10877: argininosuccinate lyase, chloroplastic","Sc_g10877","","argininosuccinate lyase activity"," arginine biosynthetic process via ornithine",2088
"11364","Sc_g10878: protein PLASTID TRANSCRIPTIONALLY ACTIVE 7-like isoform X2","Sc_g10878","plastid-encoded plastid RNA polymerase complex",""," plastid transcription",291
"11365","Sc_g10879: uncharacterized protein LOC112274375","Sc_g10879","","","",868
"11366","Sc_g10880: putative protease Do-like 14 isoform X1","Sc_g10880","","serine-type endopeptidase activity, protein binding"," proteolysis",912
"11367","Sc_g10881: calponin homology domain-containing protein DDB_G0272472 isoform X1","Sc_g10881","","","",1386
"11368","Sc_g10882: hypothetical protein PHYPA_025980","Sc_g10882","","","",822
"11369","Sc_g10883: uncharacterized protein At1g01500-like","Sc_g10883","integral component of membrane","","",1681
"11370","Sc_g10884: zinc finger CCCH domain-containing protein 11","Sc_g10884","","metal ion binding","",930
"11371","Sc_g10885: Spindle and kinetochore-associated protein","Sc_g10885","condensed chromosome outer kinetochore, spindle microtubule"," microtubule binding"," chromosome segregation, cell division",408
"11372","Sc_g10886: aldehyde oxidase GLOX-like","Sc_g10886","","oxidoreductase activity, galactose oxidase activity"," oxidation-reduction process",621
"11373","Sc_g10887: aldehyde oxidase GLOX-like","Sc_g10887","","","",1074
"11374","Sc_g10888: RNA polymerase IV second largest subunit","Sc_g10888","","DNA binding, DNA-directed 5'-3' RNA polymerase activity, ribonucleoside binding"," transcription, DNA-templated",2100
"11375","Sc_g10889: elongation factor G-2, chloroplastic","Sc_g10889"," mitochondrion, chloroplast stroma, chloroplast envelope, apoplast","translation elongation factor activity, GTPase activity, ATP binding, GTP binding"," translational elongation, chloroplast organization, seed germination, ribosome disassembly",2118
"11376","Sc_g10890: cartilage acidic protein 1-like","Sc_g10890","integral component of membrane","","",1821
"11377","Sc_g10891: basic leucine zipper and W2 domain-containing protein 2-like","Sc_g10891"," cytoplasm","protein binding","",1403
"11378","Sc_g10892: probable peroxygenase 3","Sc_g10892"," vacuole, monolayer-surrounded lipid storage body, chloroplast membrane","monooxygenase activity, calcium ion binding, plant seed peroxidase activity"," response to desiccation, response to cold, response to salt stress, response to abscisic acid, response to salicylic acid, stomatal movement, oxylipin metabolic process, defense response to fungus, (R)-2-hydroxy-alpha-linolenic acid biosynthetic process, regulation of reactive oxygen species metabolic process",663
"11379","Sc_g10893: stomatal closure-related actin-binding protein 1-like","Sc_g10893","","actin binding"," actin filament organization, regulation of stomatal movement",2192
"11380","Sc_g10894: probable aquaporin PIP2-8","Sc_g10894","vacuole, plasma membrane, plasmodesma, integral component of membrane"," water channel activity"," response to water deprivation, transmembrane transport",1475
"11381","Sc_g10895: uncharacterized protein LOC112295103","Sc_g10895",""," metal ion binding","metal ion transport",1383
"11382","Sc_g10896: protein SUPPRESSOR OF npr1-1, CONSTITUTIVE 1-like isoform X1","Sc_g10896","","protein kinase activity, ATP binding"," protein phosphorylation",330
"11383","Sc_g10897: ethylene-responsive transcription factor ERF043-like","Sc_g10897"," nucleus","DNA binding, DNA-binding transcription factor activity"," regulation of transcription, DNA-templated",633
"11384","Sc_g10898: ---NA---","Sc_g10898"," proteasome regulatory particle, lid subcomplex","","mRNA export from nucleus, proteasome assembly",243
"11385","Sc_g10899: phosphatase IMPL1, chloroplastic","Sc_g10899","cytosol, chloroplast stroma"," inositol monophosphate 1-phosphatase activity, metal ion binding, inositol monophosphate 3-phosphatase activity, inositol monophosphate 4-phosphatase activity"," inositol biosynthetic process, signal transduction, phosphatidylinositol phosphorylation, inositol phosphate dephosphorylation",1261
"11386","Sc_g10900: probable xyloglucan 6-xylosyltransferase 3","Sc_g10900","endomembrane system, integral component of membrane, membrane-bounded organelle, intracellular organelle, cytoplasmic part"," transferase activity, transferring glycosyl groups","",1031
"11387","Sc_g10901: protein FATTY ACID EXPORT 1, chloroplastic","Sc_g10901","chloroplast envelope, integral component of membrane",""," fatty acid transport, cellular component assembly, external encapsulating structure organization",444
"11388","Sc_g10902: conserved oligomeric Golgi complex subunit 1-like","Sc_g10902"," Golgi transport complex","","intra-Golgi vesicle-mediated transport",3060
"11389","Sc_g10903: light-sensor Protein kinase-like","Sc_g10903","","protein kinase activity"," protein phosphorylation",303
"11390","Sc_g10904: DNA ligase 6 isoform X1","Sc_g10904","","DNA binding, DNA ligase (ATP) activity, ATP binding"," DNA repair, DNA recombination, DNA biosynthetic process",4827
"11391","Sc_g10905: probable E3 ubiquitin-protein ligase HERC1 isoform X4","Sc_g10905","","","",1716
